,LOAN_AMOUNT,LOAN_BEHAVIOR,LOAN_START_DATE
188,1509599.9,Current,2023-07-24
189,1320799.74,Current,2023-07-31
190,1039999.82,Current,2023-08-25
191,663201.04,Current,2023-08-30
192,341999.91,Current,2023-08-31
193,609001.85,Current,2023-09-12
194,600001.11,Current,2023-09-22
195,795998.98,Current,2023-09-25
196,1824142.96,Items for litigation,2008-10-16
197,4560002.2,Current,2015-03-19
198,688138.98,Items for litigation,2015-05-26
199,1999997.73,Current,2015-07-28
200,1999201.07,Current,2015-07-31
201,3500002.11,Current,2015-09-03
202,612799.73,Items for litigation,2016-03-07
203,690400.32,Principal Past Due,2016-06-13
204,2499999.57,Current,2016-11-29
205,5000001.0,Current,2017-02-15
206,2000001.09,Current,2017-06-23
207,4115996.67,Current,2018-05-22
208,2114496.99,Items for litigation,2018-06-06
209,329230.15,Items for litigation,2018-06-06
210,5520524.55,Current,2018-06-06
211,1175998.75,Current,2018-07-18
212,608000.3,Current,2018-08-08
213,1479199.82,Current,2018-11-12
214,413999.29,Current,2018-12-20
215,999998.62,Current,2018-12-21
216,2639998.64,Current,2019-01-31
217,1531199.52,Current,2019-02-04
218,3999999.35,Current,2019-08-27
219,806149.87,Amortization Past Due,2019-09-30
220,926399.83,Current,2019-11-21
221,776000.64,Current,2019-12-16
222,999998.98,Current,2019-12-17
223,876999.03,Current,2019-12-26
224,747999.23,Current,2020-01-13
225,844800.32,Current,2020-06-19
226,767199.49,Current,2020-07-14
227,879999.14,Current,2020-07-21
228,1401600.36,Current,2020-09-07
229,750399.33,Current,2020-10-13
230,839999.37,Current,2020-10-14
231,521498.65,Amortization Past Due,2020-10-27
232,1122099.43,Current,2020-11-11
233,1354399.23,Current,2020-12-11
234,618999.01,Current,2021-01-14
235,695200.31,Current,2021-01-21
236,1310399.63,Current,2021-01-25
237,938000.26,Current,2021-03-03
238,2000001.26,Current,2021-03-17
239,504001.03,Current,2021-03-17
240,969998.19,Current,2021-06-22
241,1498500.11,Current,2021-07-29
242,539999.22,Current,2021-09-10
243,710399.84,Current,2021-09-24
244,4444708.98,Current,2021-11-11
245,834720.32,Amortization Past Due,2021-11-29
246,839999.84,Current,2022-01-10
247,1603999.81,Amortization Past Due,2022-01-31
248,738000.01,Current,2022-02-08
249,6999998.53,Current,2022-02-09
250,324999.85,Current,2022-02-11
251,1839001.13,Current,2022-03-14
252,941249.22,Current,2022-03-30
253,5499999.99,Current,2022-03-31
254,3292501.17,Current,2022-03-31
255,1389501.96,Current,2022-04-07
256,1557997.88,Current,2022-04-11
257,1455999.62,Current,2022-06-30
258,1006399.02,Current,2022-07-21
259,681999.3,Current,2022-07-25
260,877501.29,Current,2022-08-11
261,524000.02,Current,2022-08-26
262,1119999.92,Current,2022-10-05
263,1545599.07,Current,2022-10-27
264,1015201.26,Current,2022-11-08
265,591199.36,Current,2022-11-14
266,470399.74,Current,2022-12-13
267,1262400.39,Current,2022-12-15
268,1439199.62,Current,2022-12-28
269,1550000.17,Current,2022-12-29
270,999999.81,Current,2023-02-16
271,461999.78,Current,2023-03-07
272,6999998.73,Current,2023-03-29
273,959999.74,Current,2023-03-30
274,1900002.42,Amortization Past Due,2023-05-31
275,1188799.57,Current,2023-06-06
276,1070399.5,Current,2023-06-23
277,563200.16,Current,2023-07-05
278,1044650.06,Current,2023-07-11
279,1265599.02,Current,2023-07-11
280,1654999.34,Current,2023-07-27
281,1161999.2,Current,2023-08-07
282,1823999.93,Current,2023-08-30
283,2597420.14,Current,2023-08-31
284,737100.34,Current,2023-09-19
285,1624360.72,Current,2023-09-27
286,901320.08,Current,2023-09-27
287,1539999.84,Current,2023-10-20
288,400000.04,Current,2023-10-24
289,2499998.65,Current,2023-10-26
290,3000000.82,Current,2013-05-24
291,1881160.26,Current,2014-06-23
292,1999998.94,Current,2015-03-05
293,3249999.14,Current,2015-04-17
294,2518282.12,Current,2015-12-10
295,2596066.86,Current,2016-08-31
296,999999.72,Current,2016-09-13
297,560000.39,Current,2016-09-16
298,189996.58,Current,2016-10-28
299,249997.07,Current,2016-11-11
300,400000.93,Current,2016-12-16
301,1036800.88,Current,2017-05-31
302,600000.15,Current,2017-07-19
303,1989998.46,Current,2014-11-11
304,1407999.81,Amortization Past Due,2018-06-25
305,1794401.84,Current,2018-10-17
306,822400.17,Current,2018-10-24
307,3513931.67,Current,2018-10-31
308,961999.41,Current,2018-12-11
309,748998.35,Current,2018-12-21
310,3000000.23,Current,2018-12-28
311,884802.42,Current,2019-01-09
312,1037999.28,Current,2019-02-15
313,1732079.66,Current,2019-03-08
314,614250.56,Items for litigation,2019-03-18
315,710398.48,Current,2019-03-26
316,678400.63,Items for litigation,2019-05-09
317,10749491.01,Current,2019-05-31
318,587498.72,Amortization Past Due,2019-07-18
319,611200.04,Current,2019-09-05
320,909201.79,Current,2019-09-06
321,1114999.49,Current,2019-10-24
322,2449998.49,Current,2019-10-25
323,771000.76,Current,2019-11-06
324,569599.05,Current,2019-11-08
325,3195361.06,Current,2019-11-13
326,1308799.67,Amortization Past Due,2019-12-09
327,2386204.59,Current,2019-11-29
328,735110.24,Current,2019-12-11
329,518399.24,Current,2019-12-12
330,3526618.07,Current,2019-12-26
331,3387824.81,Current,2020-01-06
332,630398.83,Current,2020-01-28
333,735110.26,Amortization Past Due,2020-02-05
334,518398.76,Current,2020-02-19
335,2216814.04,Current,2020-02-24
336,1759500.15,Current,2020-03-11
337,686400.04,Current,2020-05-19
338,735201.54,Amortization Past Due,2020-06-30
339,518398.92,Current,2020-07-03
340,774999.99,Current,2020-07-13
341,636748.99,Amortization Past Due,2020-08-06
342,888000.85,Current,2020-09-14
343,710000.79,Current,2020-09-25
344,2360000.32,Current,2020-09-30
345,13000001.96,Current,2020-10-30
346,743401.38,Current,2020-11-27
347,560999.49,Current,2020-12-21
348,1408000.64,Current,2021-01-29
349,959999.67,Current,2021-02-02
350,766400.08,Current,2021-03-05
351,1639998.94,Current,2021-03-11
352,1418399.96,Current,2021-04-28
353,999912.08,Amortization Past Due,2021-05-26
354,958999.26,Current,2021-05-31
355,873598.37,Current,2021-06-03
356,1441279.6,Current,2021-07-07
357,1494499.92,Current,2021-08-03
358,494900.1,Current,2021-08-13
359,814399.33,Current,2021-08-17
360,643221.08,Principal Past Due,2021-08-18
361,584501.75,Current,2021-08-25
362,419930.61,Current,2021-08-27
363,1034310.43,Current,2021-09-30
364,494899.61,Current,2021-10-07
365,1035998.15,Current,2021-10-12
366,5853079.86,Current,2021-10-28
367,720019.34,Current,2021-11-25
368,7109999.54,Current,2021-11-29
369,20678488.82,Current,2021-11-29
370,1230400.78,Current,2022-02-07
371,566400.51,Current,2022-03-18
372,3157480.6,Current,2022-03-29
373,1048000.35,Current,2022-04-06
374,1175999.29,Current,2022-04-28
375,2500002.17,Current,2022-04-29
376,747500.13,Current,2022-05-24
377,1686400.83,Amortization Past Due,2022-05-26
378,2703846.04,Current,2022-05-30
379,972001.36,Amortization Past Due,2022-06-02
380,1010800.26,Amortization Past Due,2022-06-22
381,779998.73,Current,2022-06-30
382,704997.73,Current,2022-07-26
383,823200.15,Current,2022-08-26
384,571199.14,Current,2022-08-31
385,962502.04,Current,2022-08-31
386,936001.09,Amortization Past Due,2022-09-09
387,847110.57,Current,2022-10-24
388,1.12,Principal Past Due,2022-10-21
389,1068999.34,Current,2022-11-07
390,7999997.21,Current,2022-11-29
391,666399.34,Current,2022-12-13
392,2044000.32,Current,2022-12-16
393,950398.11,Current,2022-12-20
394,3208166.63,Current,2022-12-28
395,1275200.69,Current,2023-01-09
396,767598.79,Current,2023-02-22
397,1359000.15,Current,2023-02-28
398,455000.69,Current,2023-03-06
399,859199.79,Current,2023-03-13
400,1448802.15,Current,2023-03-31
401,761999.05,Current,2023-04-27
402,776221.89,Current,2023-04-28
403,880599.86,Current,2023-06-13
404,969500.35,Current,2023-06-29
405,1015999.63,Current,2023-06-30
406,5160000.85,Current,2023-08-10
407,631200.75,Current,2023-08-17
408,846398.56,Current,2023-09-22
409,1558415.13,Items for litigation,2005-02-24
410,1353862.93,Items for litigation,2005-03-03
411,2800000.22,Current,2008-09-04
412,1539300.35,Current,2009-12-10
413,2150001.08,Amortization Past Due,2012-09-07
414,1598293.61,Current,2013-10-09
415,1424000.59,Items for litigation,2013-10-18
416,1424000.3,Items for litigation,2013-10-18
417,1622752.43,Current,2014-07-24
418,77249.3,Current,2014-07-24
419,1499998.7,Current,2014-08-26
420,859999.43,Current,2015-01-22
421,4904073.09,Current,2015-05-20
422,595928.56,Current,2015-05-20
423,788299.31,Current,2015-02-26
424,1499999.45,Principal Past Due,2015-07-20
425,2239998.16,Current,2015-09-28
426,3656498.81,Amortization Past Due,2015-11-27
427,243766.34,Current,2015-11-27
428,4000001.41,Current,2015-12-21
429,4500001.51,Current,2016-03-11
430,2798401.27,Current,2016-03-16
431,401599.85,Current,2016-03-16
432,996411.68,Current,2016-05-19
433,503589.11,Current,2016-05-19
434,1451040.66,Principal Past Due,2016-09-28
435,2461599.99,Current,2016-11-28
436,1777349.67,Current,2016-11-29
437,1209600.91,Current,2016-12-29
438,4639999.2,Current,2017-04-06
439,11061407.9,Current,2017-06-28
440,1499999.61,Current,2017-09-15
441,1284311.95,Current,2017-10-25
442,3500000.04,Current,2017-12-01
443,6248900.04,Amortization Past Due,2017-11-30
444,2400001.67,Principal Past Due,2017-12-27
445,2999999.45,Current,2017-12-28
446,752799.1,Current,2015-07-15
447,1679998.42,Current,2018-01-31
448,549998.51,Current,2018-02-15
449,1745001.02,Current,2018-02-28
450,218125.48,Current,2018-02-28
451,1500001.61,Current,2018-03-22
452,529999.4,Current,2018-06-27
453,2699998.47,Current,2018-08-09
454,527998.99,Current,2018-10-11
455,1258400.84,Current,2018-12-07
456,1357599.31,Current,2018-12-10
457,650249.21,Current,2019-03-14
458,1286398.91,Current,2019-04-25
459,3788000.35,Current,2019-05-24
460,2500000.79,Current,2019-05-30
461,2599999.98,Amortization Past Due,2019-05-30
462,1199082.16,Current,2019-06-21
463,499998.88,Current,2019-06-25
464,3500001.25,Current,2019-06-28
465,1152000.31,Current,2019-08-22
466,612999.58,Current,2019-08-30
467,958998.71,Current,2019-09-06
468,864000.17,Amortization Past Due,2019-09-10
469,6000001.64,Current,2019-09-27
470,4903199.23,Current,2019-09-27
471,499999.65,Current,2019-09-30
472,895000.0,Current,2019-10-07
473,659466.72,Current,2019-12-09
474,612001.22,Current,2019-12-12
475,1143201.13,Current,2020-01-02
476,2199997.67,Current,2020-01-20
477,1145000.49,Current,2020-01-31
478,1499997.68,Current,2020-03-19
479,848000.25,Current,2020-06-30
480,1096321.19,Current,2020-07-24
481,748800.45,Current,2020-08-12
482,4738499.71,Current,2020-08-20
483,588001.35,Current,2020-08-28
484,1114399.78,Current,2020-09-02
485,1339998.68,Current,2020-11-13
486,2311848.01,Current,2020-12-11
487,955999.29,Amortization Past Due,2021-01-14
488,470399.57,Current,2021-01-15
489,586603.58,Current,2021-01-26
490,2499999.92,Current,2021-03-10
491,594748.24,Current,2021-03-17
492,1372000.21,Current,2021-04-22
493,3755780.61,Current,2021-04-26
494,1470320.02,Current,2021-05-14
495,1550220.25,Current,2021-06-23
496,688000.42,Current,2021-07-09
497,207000.65,Current,2021-07-15
498,450100.54,Current,2021-07-28
499,566400.06,Current,2021-08-13
500,566398.35,Current,2021-08-13
501,566400.18,Current,2021-08-13
502,2306050.12,Current,2021-08-26
503,800001.73,Current,2021-09-10
504,1218001.34,Current,2021-11-24
505,10000000.44,Current,2021-11-29
506,996801.14,Current,2021-11-29
507,1494998.38,Current,2021-12-22
508,2165927.78,Current,2021-12-29
509,764001.44,Current,2021-12-31
510,565601.48,Current,2022-02-17
511,1260000.96,Current,2022-03-23
512,687199.48,Amortization Past Due,2022-04-01
513,3999999.93,Current,2022-04-07
514,1791199.47,Current,2022-04-08
515,1423097.86,Current,2022-04-22
516,1302400.19,Current,2022-04-27
517,1992041.01,Current,2022-05-26
518,510000.26,Current,2022-06-24
519,932799.67,Current,2022-07-29
520,1343999.55,Current,2022-08-16
521,2047999.15,Current,2022-08-18
522,943999.3,Current,2022-08-19
523,669999.34,Current,2022-08-25
524,2999998.76,Current,2022-09-09
525,638400.87,Current,2022-09-09
526,1448371.44,Current,2022-09-15
527,772000.97,Current,2022-09-29
528,2000000.02,Current,2022-10-06
529,499998.61,Current,2022-11-25
530,799199.48,Current,2022-12-13
531,927109.93,Current,2022-12-16
532,4529798.63,Current,2022-12-20
533,951199.77,Current,2022-12-21
534,3999999.48,Current,2022-12-29
535,785400.36,Current,2022-12-29
536,695110.68,Current,2023-01-26
537,575199.38,Current,2023-02-23
538,1279201.99,Current,2023-02-23
539,1640000.96,Current,2023-02-28
540,1661600.64,Current,2023-03-17
541,1196000.73,Current,2023-03-24
542,1687198.99,Current,2023-03-24
543,749700.5,Amortization Past Due,2023-03-29
544,1799999.84,Current,2023-04-13
545,1695199.72,Current,2023-04-13
546,932800.48,Current,2023-04-24
547,1134749.97,Current,2023-04-28
548,581601.55,Current,2023-04-28
549,581601.65,Current,2023-05-05
550,1008001.49,Current,2023-05-15
551,919999.61,Current,2023-05-31
552,6808501.32,Current,2023-05-31
553,840000.08,Current,2023-05-31
554,500000.81,Current,2023-06-05
555,716799.64,Current,2023-06-16
556,918401.8,Current,2023-06-22
557,5000001.01,Current,2023-06-23
558,645999.5,Current,2023-08-09
559,1039201.26,Current,2023-08-25
560,1015299.54,Current,2023-08-30
561,795999.55,Current,2023-09-07
562,1595000.8,Current,2023-09-22
563,799998.96,Current,2023-09-27
564,3297239.36,Current,2023-09-28
565,5779800.04,Current,2023-09-28
566,1338999.98,Current,2023-10-16
567,907201.81,Current,2023-10-20
568,2563679.98,Current,2023-10-31
569,3491521.17,Current,2023-10-31
570,1499999.02,Current,2014-06-06
571,1584649.73,Current,2016-09-30
572,5620948.66,Current,2016-11-29
573,1999998.55,Amortization Past Due,2016-12-15
574,1850688.52,Current,2017-08-04
575,2436799.26,Current,2018-01-24
576,1108132.67,Current,2018-03-05
577,122261.54,Current,2018-05-23
578,4400000.2,Current,2018-07-06
579,580798.32,Current,2018-09-18
580,733949.58,Current,2018-09-26
581,6321295.44,Current,2018-09-28
582,576800.98,Current,2018-10-05
583,4000000.27,Current,2018-11-26
584,489999.8,Current,2018-12-13
585,591999.95,Current,2018-12-20
586,1678400.96,Current,2018-12-27
587,119999.12,Current,2019-01-18
588,1347002.12,Amortization Past Due,2019-01-25
589,557600.43,Amortization Past Due,2019-02-15
590,583999.54,Current,2019-02-28
591,830399.05,Current,2019-04-04
592,1437600.93,Current,2019-05-17
593,136000.12,Current,2019-05-10
594,1686399.53,Current,2019-06-14
595,1899998.34,Current,2019-06-28
596,523604.66,Current,2019-07-16
597,847501.28,Current,2019-07-16
598,620000.4,Current,2019-07-29
599,874298.77,Current,2019-08-23
600,854400.56,Current,2019-08-29
601,1040000.71,Current,2019-09-19
602,1291668.45,Current,2019-09-26
603,1631150.59,Amortization Past Due,2019-09-27
604,814400.41,Current,2019-11-15
605,2900000.84,Current,2019-12-11
606,711000.77,Current,2020-02-04
607,970198.43,Current,2020-02-27
608,584799.33,Current,2020-03-23
609,735109.2,Current,2020-07-23
610,506900.83,Current,2020-08-14
611,2199998.89,Current,2020-09-03
612,714749.17,Current,2020-09-23
613,2792493.14,Current,2020-11-26
614,964799.08,Current,2020-12-21
615,4673162.27,Current,2021-02-08
616,542401.66,Current,2021-02-09
617,401099.11,Current,2021-02-22
618,1120000.31,Current,2021-03-08
619,1087999.68,Current,2021-03-12
620,765001.74,Current,2021-04-27
621,1132001.51,Principal Past Due,2021-04-28
622,964001.1,Current,2021-06-23
623,1704870.39,Current,2021-07-30
624,675749.58,Current,2021-08-26
625,1044799.52,Amortization Past Due,2021-09-27
626,751998.28,Current,2021-10-05
627,680800.79,Principal Past Due,2021-10-11
628,1008000.17,Current,2021-10-27
629,525000.76,Current,2022-01-20
630,1116800.51,Current,2022-03-29
631,950399.53,Current,2022-04-21
632,731998.62,Current,2022-05-16
633,1949999.53,Current,2022-06-29
634,935999.94,Current,2022-07-28
635,1664235.45,Current,2022-09-30
636,984998.9,Current,2022-10-03
637,524579.07,Current,2022-10-17
638,1056801.49,Amortization Past Due,2022-10-20
639,2441127.27,Current,2022-11-29
640,706402.39,Amortization Past Due,2023-02-14
641,868001.02,Current,2023-03-28
642,758399.65,Current,2023-04-25
643,1575199.75,Current,2023-05-29
644,1800000.07,Current,2023-06-15
645,1314999.94,Current,2023-06-23
646,2808852.77,Current,2023-07-10
647,705599.75,Current,2023-08-07
648,839000.06,Current,2023-08-14
649,1663198.97,Current,2023-08-17
650,1034400.63,Current,2023-09-27
651,625000.2,Current,2023-10-26
652,1174400.99,Items for litigation,2012-12-13
653,593598.29,Items for litigation,2013-04-12
654,1899998.88,Current,2014-06-06
655,4999999.61,Current,2014-11-25
656,2239998.62,Current,2015-01-28
657,2599997.81,Current,2015-11-25
658,9999998.76,Current,2017-01-16
659,1156172.04,Principal Past Due,2018-04-30
660,439104.02,Current,2018-06-16
661,376635.13,Current,2018-06-16
662,375726.73,Current,2018-06-16
663,503332.47,Current,2018-06-16
664,698500.13,Current,2019-03-20
665,983199.61,Current,2019-05-07
666,999998.51,Current,2019-05-14
667,1447199.49,Current,2019-06-24
668,660750.3,Current,2019-08-06
669,720000.55,Current,2019-09-18
670,788001.37,Current,2019-09-24
671,725999.13,Current,2019-10-16
672,3482923.84,Current,2019-12-23
673,490000.69,Amortization Past Due,2020-01-24
674,1000000.24,Current,2020-02-28
675,858499.17,Current,2020-03-18
676,1616700.43,Current,2020-06-10
677,712000.23,Amortization Past Due,2020-06-19
678,1407999.24,Current,2020-07-15
679,7105249.64,Current,2020-08-04
680,1354400.4,Current,2021-01-14
681,1039199.66,Current,2021-01-18
682,3753478.6,Current,2021-01-28
683,825999.75,Current,2021-02-15
684,962799.07,Current,2021-02-23
685,2069035.32,Current,2021-03-18
686,2500001.25,Current,2021-03-30
687,-0.83,Current,2021-06-01
688,565527.41,Current,2021-07-16
689,631199.4,Current,2021-08-06
690,780499.95,Current,2021-08-19
691,1060000.4,Current,2021-08-23
692,622800.58,Current,2021-08-31
693,958399.19,Current,2021-09-17
694,400000.11,Current,2021-09-27
695,798401.24,Amortization Past Due,2021-10-29
696,2597420.52,Current,2021-11-08
697,438886.72,Current,2021-12-24
698,878397.84,Current,2021-12-24
699,497249.28,Current,2021-12-24
700,5199998.97,Current,2022-01-26
701,495601.19,Current,2022-01-27
702,1364800.82,Current,2022-04-08
703,806399.79,Current,2022-04-21
704,999998.07,Current,2022-05-04
705,799109.29,Current,2022-05-06
706,946399.75,Current,2022-05-26
707,724800.23,Current,2022-06-06
708,4300001.3,Current,2022-06-23
709,608220.42,Current,2022-06-30
710,943999.66,Current,2022-07-14
711,573749.52,Current,2022-07-15
712,608222.3,Current,2022-08-26
713,838400.23,Current,2022-09-12
714,614165.82,Amortization Past Due,2022-09-19
715,2248999.15,Current,2022-09-21
716,650299.51,Current,2022-10-05
717,1047001.01,Current,2022-10-07
718,1094801.06,Current,2022-10-17
719,899100.36,Current,2022-11-18
720,888300.82,Current,2022-11-23
721,470397.84,Current,2022-12-21
722,571900.69,Current,2022-12-29
723,1015199.95,Current,2023-01-11
724,935199.07,Current,2023-01-24
725,629299.59,Current,2023-01-30
726,615201.0,Amortization Past Due,2023-02-01
727,1200000.18,Current,2023-02-08
728,576800.29,Principal Past Due,2023-02-20
729,1565601.24,Principal Past Due,2023-03-20
730,830399.53,Current,2023-05-15
731,547199.54,Amortization Past Due,2023-05-16
732,810048.77,Current,2023-05-17
733,615196.33,Current,2023-05-18
734,1494401.59,Current,2023-07-26
735,756000.13,Current,2023-07-27
736,992000.2,Current,2023-07-27
737,740800.3,Current,2023-08-16
738,5880000.05,Current,2023-08-25
739,845600.75,Current,2023-10-03
740,583200.63,Current,2023-10-18
741,10000000.05,Current,2023-10-31
742,1065816.06,Items for litigation,2010-07-22
743,8899999.86,Current,2013-03-27
744,1097771.59,Current,2014-01-08
745,944999.58,Amortization Past Due,2014-02-10
746,683099.26,Current,2014-06-13
747,5464799.72,Current,2014-06-13
748,2500001.68,Current,2014-10-09
749,1045985.5,Current,2015-03-26
750,1577415.16,Current,2015-03-27
751,5000000.86,Current,2015-04-27
752,4552000.59,Current,2015-06-11
753,4800000.1,Current,2015-09-10
754,2598625.04,Current,2016-03-21
755,120440.1,Current,2016-03-21
756,1260002.56,Current,2016-10-14
757,800000.2,Amortization Past Due,2016-10-21
758,1047374.9,Current,2017-02-15
759,533600.68,Principal Past Due,2017-02-28
760,8154580.12,Amortization Past Due,2017-05-30
761,2352000.35,Amortization Past Due,2017-05-31
762,5089876.53,Amortization Past Due,2017-07-26
763,1000001.71,Current,2017-08-07
764,2092624.65,Current,2017-08-22
765,2697646.2,Current,2017-12-07
